star,rms,cdpp_ppm,peak_to_peak
AU Mic,0.000724856402381878,248.09020153452016,0.03751225887935894
HD 209458,0.0005393108390255684,66.45303056258105,0.005444740897928124
WASP-52,0.0053420963508554326,942.4877822899891,0.04670083001701364
