star,period_d,transit_depth,sigma_oot,detection_snr,snr_err
AU Mic,8.463,0.0027,0.000724856402381878,3.7248757010737585,0.04156978277307514
HD 209458,3.5247,0.0147,0.0005393108390255684,27.25700827107441,0.0661507457963357
WASP-52,1.7497,0.027,0.0053420963508554326,5.05419562409736,0.012129350808052042
